"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\Users\tetuo\OneDrive\Documents\Claude\Projects\MASTOC-LLM\_baseline_sweep_tmp.nlogox"
"baseline-sweep"
"05/25/2026 08:23:13:213 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","condition","num-llm-agents","cow-forage-requirement","initial-grassland","initial-grass-growth-rate","cooperation-level","negative-reciprocity","positive-reciprocity","risk-aversion-level","fairness-concerning-me","fairness-concerning-others","conformity-level","memory-length","detect-institutions","institution-check-interval","agent0-backend","agent0-model","agent1-backend","agent1-model","agent2-backend","agent2-model","ollama-base-url","system-prompt-override","total-runs","[step]","count patches with [pcolor = green - 2]","count cows","pressure","count cows with [owner = human 0]","count cows with [owner = human 1]","count cows with [owner = human 2]"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","0","1089","45","0","5","15","25"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","1","1082","43","0.07897153351698806","4","14","25"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","2","1081","43","0.08539944903581267","4","14","25"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","3","1080","43","0.08631772268135904","4","14","25"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","4","1080","43","0.08723599632690542","4","14","25"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","5","1079","45","0.09090909090909091","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","6","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","7","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","8","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","9","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","10","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","11","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","12","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","13","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","14","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","15","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","16","1079","45","0.09182736455463728","4","15","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","17","1078","47","0.09550045913682277","5","16","26"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","18","1077","48","0.09825528007346189","5","16","27"
"1","full-gabm","1","2","100","0.001","1","0","1","1","0","1","0","5","true","5","ollama","qwen2.5:14b","ollama","qwen2.5:14b","ollama","qwen2.5:14b","https://oxford-handmade-chill.ngrok-free.dev/v1","","10","19","1076","48","0.09917355371900827","5","16","27"
