tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1080,99.2,47,0.0863,5,16,26
2,1077,98.9,49,0.0983,5,17,27
3,1075,98.7,51,0.1047,5,18,28
4,1072,98.4,53,0.1102,5,19,29
5,1069,98.2,56,0.1185,6,20,30
6,1066,97.9,58,0.1249,6,21,31
7,1064,97.7,60,0.1313,6,22,32
8,1060,97.3,63,0.1387,7,23,33
9,1056,97.0,65,0.146,7,24,34
10,1052,96.6,67,0.1534,7,25,35
11,1048,96.2,69,0.1607,7,26,36
12,1044,95.9,71,0.168,7,27,37
13,1038,95.3,74,0.1772,8,28,38
14,1032,94.8,76,0.1864,8,29,39
15,1026,94.2,78,0.1956,8,30,40
16,1020,93.7,80,0.2048,8,31,41
17,1013,93.0,82,0.214,8,32,42
18,1005,92.3,84,0.2241,8,33,43
19,996,91.5,86,0.2351,8,34,44
20,986,90.5,88,0.247,8,35,45
21,975,89.5,90,0.2599,8,36,46
22,962,88.3,92,0.2736,8,37,47
23,949,87.1,93,0.2874,7,38,48
24,934,85.8,95,0.303,7,39,49
25,915,84.0,97,0.3205,7,40,50
26,893,82.0,99,0.3416,7,41,51
27,866,79.5,101,0.3655,7,42,52
28,832,76.4,103,0.3939,7,43,53
29,788,72.4,105,0.4288,7,44,54
30,730,67.0,107,0.4729,7,45,55
31,651,59.8,109,0.5298,7,46,56
32,543,49.9,110,0.6042,6,47,57
33,394,36.2,111,0.7052,5,48,58
34,194,17.8,112,0.8439,4,49,59
35,0,0.0,97,1.0,2,41,54
36,0,0.0,0,1.0,0,0,0
37,0,0.0,0,1.0,0,0,0
38,0,0.0,0,1.0,0,0,0
39,0,0.0,0,1.0,0,0,0
40,0,0.0,0,1.0,0,0,0
41,0,0.0,0,1.0,0,0,0
42,0,0.0,0,1.0,0,0,0
43,0,0.0,0,1.0,0,0,0
44,0,0.0,0,1.0,0,0,0
45,0,0.0,0,1.0,0,0,0
46,0,0.0,0,1.0,0,0,0
47,0,0.0,0,1.0,0,0,0
48,0,0.0,0,1.0,0,0,0
49,0,0.0,0,1.0,0,0,0
50,0,0.0,0,1.0,0,0,0
51,0,0.0,0,1.0,0,0,0
52,0,0.0,0,1.0,0,0,0
53,0,0.0,0,1.0,0,0,0
54,0,0.0,0,1.0,0,0,0
