tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,576,52.9,45,0.5822,5,15,25
2,617,56.7,45,0.5537,5,15,25
3,670,61.5,45,0.5161,5,15,25
4,737,67.7,45,0.4674,5,15,25
5,817,75.0,45,0.4059,5,15,25
6,903,82.9,45,0.3324,5,15,25
7,981,90.1,45,0.2534,5,15,25
8,1035,95.0,45,0.1818,5,15,25
9,1063,97.6,45,0.1322,5,15,25
10,1074,98.6,45,0.1065,5,15,25
11,1077,98.9,45,0.0964,5,15,25
12,1078,99.0,45,0.0937,5,15,25
13,1079,99.1,45,0.0927,5,15,25
14,1079,99.1,45,0.0918,5,15,25
15,1079,99.1,45,0.0918,5,15,25
16,1079,99.1,45,0.0918,5,15,25
17,1079,99.1,45,0.0918,5,15,25
18,1079,99.1,45,0.0918,5,15,25
19,1079,99.1,45,0.0918,5,15,25
20,1079,99.1,45,0.0918,5,15,25
21,1079,99.1,45,0.0918,5,15,25
22,1079,99.1,45,0.0918,5,15,25
23,1079,99.1,45,0.0918,5,15,25
24,1079,99.1,45,0.0918,5,15,25
25,1079,99.1,45,0.0918,5,15,25
26,1079,99.1,45,0.0918,5,15,25
27,1079,99.1,45,0.0918,5,15,25
28,1079,99.1,45,0.0918,5,15,25
29,1079,99.1,45,0.0918,5,15,25
30,1079,99.1,45,0.0918,5,15,25
