tick,institution_score,categories,round_summary
5,0,,No messages this round
10,0,,No messages this round
15,0,,No messages this round
20,0,,No messages this round
25,0,,No messages this round
30,0,,No messages this round
35,0,,No messages this round
40,0,,No messages this round
45,0,,No messages this round
50,0,,No messages this round
55,0,,No messages this round
60,0,,No messages this round
65,0,,No messages this round
70,0,,No messages this round
75,0,,No messages this round
80,0,,No messages this round
85,0,,No messages this round
90,0,,No messages this round
95,0,,No messages this round
