tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows,run_id,condition,source
1,1081,99.3,45,0.0826,5,15,25,20260515_233233_full-gabm,full-gabm,logs/
2,1080,99.2,44,0.0882,5,15,24,20260515_233233_full-gabm,full-gabm,logs/
3,1080,99.2,43,0.0872,5,15,23,20260515_233233_full-gabm,full-gabm,logs/
4,1080,99.2,43,0.0872,6,15,22,20260515_233233_full-gabm,full-gabm,logs/
5,1081,99.3,42,0.0854,6,15,21,20260515_233233_full-gabm,full-gabm,logs/
6,1081,99.3,42,0.0845,7,15,20,20260515_233233_full-gabm,full-gabm,logs/
7,1081,99.3,41,0.0826,6,15,20,20260515_233233_full-gabm,full-gabm,logs/
8,1082,99.4,39,0.079,6,14,19,20260515_233233_full-gabm,full-gabm,logs/
9,1083,99.4,39,0.0781,6,14,19,20260515_233233_full-gabm,full-gabm,logs/
10,1083,99.4,38,0.0753,6,14,18,20260515_233233_full-gabm,full-gabm,logs/
11,1084,99.5,37,0.0735,6,14,17,20260515_233233_full-gabm,full-gabm,logs/
12,1084,99.5,37,0.0725,7,14,16,20260515_233233_full-gabm,full-gabm,logs/
13,1084,99.5,37,0.0725,7,14,16,20260515_233233_full-gabm,full-gabm,logs/
14,1084,99.5,36,0.0707,7,14,15,20260515_233233_full-gabm,full-gabm,logs/
15,1085,99.6,35,0.0689,7,14,14,20260515_233233_full-gabm,full-gabm,logs/
16,1085,99.6,35,0.068,8,13,14,20260515_233233_full-gabm,full-gabm,logs/
17,1085,99.6,36,0.0698,8,14,14,20260515_233233_full-gabm,full-gabm,logs/
18,1084,99.5,37,0.0716,9,14,14,20260515_233233_full-gabm,full-gabm,logs/
19,1084,99.5,37,0.0725,10,14,13,20260515_233233_full-gabm,full-gabm,logs/
20,1084,99.5,37,0.0725,11,13,13,20260515_233233_full-gabm,full-gabm,logs/
21,1084,99.5,38,0.0744,12,13,13,20260515_233233_full-gabm,full-gabm,logs/
22,1083,99.4,39,0.0762,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
23,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
24,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
25,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
26,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
27,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
28,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
29,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
30,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
31,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
32,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
33,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
34,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
35,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
36,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
37,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
38,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
39,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
40,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
41,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
42,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
43,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
44,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
45,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
46,1083,99.4,39,0.0771,13,13,13,20260515_233233_full-gabm,full-gabm,logs/
